code,Name
Q2,Sengkang Hospital Outpatient
Q3,Ng Teng Fong General Hospital Inpatient
Q4,Ng Teng Fong General Hospital Outpatient
Q9,Admiralty Medical Centre
QA,Admiralty Medical Centre
QB,ALEXANDRA HOSPITAL (INPATIENT)
QC,ALEXANDRA HOSPITAL (OUTPATIENT)
SH,HEALTH PROMOTION BOARD
SP,SINGHEALTH POLYCLINIC
ZZ,Ministry of Health
53,RAFFLES HOSPITAL
55,ST LUKE'S HOSPITAL (CONVALESCENT)
59,WESTPOINT FAMILY HOSPITAL PTE LTD
5A,St. Luke's Hospital
60,MOUNT ELIZABETH HOSPITAL
61,MOUNT ALVERNIA HOSPITAL
63,GLENEAGLES HOSPITAL
64,YOUNGBERG ADVENTIST HOSPITAL
65,PARKWAY EAST HOSPITAL
62,Thomson Medical Pte Ltd
66,JURONG HOSPITAL
72,KWONG WAI SHIU HOSPITAL
74,ADAM ROAD HOSPITAL
A0,Kwong Wai Shiu Hospital
C2,Kwong Wai Shiu Hospital
HA,CHRONIC SICK HOSPITAL
I0,Westpoint Family Hospital
K3P,"NHG Diagnostics - XRay Laboratory, Ang Mo Kio - Thye Hua Kwan Hospital Ltd"
K7I,ST ANDREW'S MISSION HOSPITAL CLINIC (SIMEI)
KC4,RenalTeam Dialysis Centre at Ren Ci Community Hospital
KD3,Concord Cancer Hospital
KG1,St. Andrew's Mission Hospital Clinic (Kampong Glam)
N3V,Ang Mo Kio - Thye Hua Kwan Hospital Geriatric Clinic
N5F,WESTPOINT FAMILY HOSPITAL
N7B,Ren Ci Community Hospital (Convalescent)
NL0,Mount Elizabeth Novena Hospital
NLG,Fortis Colorectal Hospital
NMC,ST ANDREW'S MISSION HOSPITAL CLINIC (ELLIOT ROAD)
NV8,Fortis Surgical Hospital
NWU,FARRER PARK HOSPITAL
OM,Kwong Wai Shiu Hospital
R01,St Luke Hospital For The Elderly Ltd
R09,Kwong Wai Shiu Hospital DRC
R11,Bright Vision Hospital DRC
R28,FARRER PARK HOSPITAL
W3,ANG MO KIO COMMUNITY HOSPITAL ANG MO KIO SCHCC
14,Ang Mo Kio -  Thye Hua Kwan Hospital Ltd
36,St Andrew's Community Hospital
54,ST LUKE'S HOSPITAL (COMMUNITY)
AJL,SATA CommHealth Community Hub
H4,BRIGHT VISION HOSPITAL
HQ,WEST POINT FAMILY HOSPITAL PTE LTD
K5J,Yishun Community Hospital
KLY,St Andrew's Community Hospital
N7A,Ren Ci Community Hospital (Community)
NWV,Jurong Community Hospital Outpatient
NWX,Jurong Community Hospital
P0,St Andrew's Community Hospital
Q5,Sengkang Community Hospital (Inpatient)
Q6,Sengkang Community Hospital (Outpatient)
R02,St Andrew's Community Hospital
R20,NTUC Eldercare Co-operative Ltd â€“ Silver Circle (Fengshan)
R25,Ren Ci Hospital
R27,Jurong Community Hospital DRC
R31,Yishun Community Hospital DRC (D37 THERAPY SERVICES)
0,Silver Cross Medical Centre Pte Ltd
1,Silver Cross Family Clinic (Serangoon)
2,Silver Cross Family Clinic
0A,Lifeline Punggol Medical Clinic
0B,Lifeline Fernvale Medical Clinic
0C,Lifeline Loyang Point Medical Clinic
0D,Healthmark Family Medicine Clinic
0E,Kee & Partners Family Clinic
0F,Mutual Healthcare Medical Clinic
0G,King George's Medical Centre (Hougang) Pte Ltd
0H,Healthmed Family Clinic (Bukit Panjang)
0I,Healthmark Family Clinic (Compassvale)
0J,Healthmark Medical Clinic
0K,Ubi Medical Clinic
0L,Lee Medical Associates Pte Ltd
0M,Frontier Medical Associates
0N,Frontier Medical Associates
0O,Frontier Medical Associates
0P,Sterling Family Clinic
0Q,My Family Clinic (Jurong West Ext)
0R,My Family Clinic (SJ) Pte Ltd
0S,My Family Clinic (Rivervale)
0T,My Family Clinic (Pioneer)
0U,My Family Clinic (Tanglin Halt)
0V,My Family Clinic (Woodlands)
0W,My Family Clinic (Choa Chu Kang)
0X,My Little Family Clinic Pte Ltd
0Y,The Bonham Clinic Pte Ltd
0Z,Y S Teo Family Clinic & Surgery
17,Drs Ong Medical Clinic
1A,Mediview Clinic & Surgery Pte Ltd
1B,Meridian Medical Centre
1C,Pacific Family Clinic Pte Ltd
1D,The Bishan Family Doctors
1E,E. J. Tan Clinic & Surgery
1F,Shifa Clinic & Surgery
1G,E J Family Clinic Pte Ltd
1H,Cheng Clinic
1I,Phoon Clinic & Surgery
1J,Drs Chua & Partners Pte Ltd
1K,Chin Leong Clinic
1L,Royal Medical Centre
1M,G & H Medical Clinic Pte Ltd
1N,River Of Life Family Clinic
1O,Chua Medico Clinic LLP
1P,Sims Drive Medical Clinic
1Q,Pier Medical Centre
1R,Cashew Medical & Surgery
1S,Kim Tian Clinic
1T,Camry Medical Centre
1U,Lee & Tan Family Clinic & Surgery
1V,Meden Clinic & Surgery
1W,MEI LING CLINIC (TOA PAYOH) LLP
1X,Nyam Family Clinic
1Y,Soong Clinic And Surgery
1Z,T S Wong Clinic & Surgery
25,Nephrocare Singapore Dialysis Centre
26,PEOPLE'S DIALYSIS CENTRE
27,AcuMed Medical Group
2A,Faith Family Clinic (Jurong)
2B,Faith Clinic (Rivervale)
2C,Faith Clinic (Simei)
2D,Faith Clinic (Toa Payoh)
2E,Chiew Clinic Pte Ltd
2F,Gethin-Jones Medical Practice Pte Ltd
2G,King George's Medical Centre Pte Ltd
2H,Little Cross Family Clinic Pte Ltd
2I,Rochor Centre Clinic
2J,Temasek Clinic and Surgery
2K,Universal Medical Clinic
2L,Woodlands Family Clinic
2M,Lifeline Bishan Medical Clinic
2N,Lifeline Neighbourhood Medical Clinic
2O,Lifeline Yishun Ring Medical Clinic
2P,Care Medical Clinic
2Q,Chern Medical Clinic
2R,JW Corporation Clinic
2S,Kho Clinic
2T,Ko Family Clinic
2U,Public Medical Clinic & Surgery
2V,S T Medical Centre
2W,Tan Lee Clinic & Surgery
2X,Yao Medical Clinic
2Y,"Drs Trythall, Hoy, Davies (Pte) Ltd"
2Z,Everhealth Family Clinic & Surgery
31,National Clinic
32,Healthmark Pioneer Mall Clinic
33,BALESTIER MEDICAL CENTRE PTE LTD
35,Pandan Clinic Pte Ltd
37,Shenton Family Medical Clinic (Bedok South)
38,Shenton Family Medical Clinic (Bukit Gombak)
39,Shenton Family Medical Clinic (Jurong East)
3A,Shenton Family Medical Clinic (Serangoon)
3B,Shenton Family Medical Clinic (Bedok Reservoir)
3C,Eastern Clinic & Surgery Pte Ltd
3D,Everhealth Medical Centre
3E,Lifecare Medical Centre
3F,Lily Aw Pasir Ris Family Clinic & Surgery
3G,Lifecare Family Clinic & Surgery
3H,Victoria Medical Hall Clinic & Surgery
3I,S Y Lee Clinic
3J,S Lee Clinic
3K,Senja Family Clinic
3L,Lifecare Family Clinic
3M,MEI LING CLINIC LLP
3N,Healthspring Family Clinic & Surgery
3O,B S Chew Clinic
3P,Diabetic Society of Singapore
3Q,Excel Family Clinic
3R,Family Point Clinic & Surgery
3S,Healthcare Family Clinic & Surgery
3T,Leong Clinic
3U,Lim Clinic
3V,Lim Clinic & Surgery
3W,Our Family Clinic & Surgery Pte Ltd
3X,SATA CommHealth Medical Centre - Uttamram
3Y,Sia & Yeo Family Clinic
3Z,The Family Clinic
40,NATIONAL KIDNEY FOUNDATION
42,Nephrocare S&J Dialysis Centre
43,GRACE POLYCLINIC
44,RENAL & DIALYSIS CLINIC (S) PTE LTD
45,Gleneagles Dialysis International Pte Ltd
46,RENAL THERAPY CENTRE PTE LTD
47,IMMANUEL DIALYSIS CENTRE (AMK) PTE LTD
48,KIDNEY DIALYSIS FOUNDATION LTD PTE LTD
49,DIALYSIS CENTRE - YOUNGBERG PTE LTD
4A,F K Lim Family Clinic
4B,Fraser Medical Centre
4C,Hafiz Clinic and Surgery
4D,Healthlink Family Clinic & Surgery
4E,MHC Medical Center (Amara)
4F,People's Clinic
4G,Phoenix Clinic & Surgery
4H,Singapura Clinic
4I,Tan Medical Clinic Pte Ltd
4J,Tan Medicare Clinic Pte Ltd
4K,Y T Lim Clinic & Surgery
4L,Yang & Chin Medical & Dental Associates Yang Ing Shyong Medical & Aesthetic Clinic
4M,C K Tan Family Clinic & Surgery
4N,Drs Fernandez & Partners
4O,East Coast Family Clinic
4P,Healthgain Clinic & Surgery
4Q,Koh Clinic & Surgery Pte Ltd
4R,Lavender Medical Clinic & Surgery
4S,Lee Clinic
4T,Marina Medical Centre (Tiong Bahru)
4U,Neighbourhood Medical Clinic Pte Ltd
4V,Oasis Family Clinic
4W,Dayspring Medical Clinic (Pasir Ris)
4X,Ridgewood Medical Clinic
4Y,Rivervale Family Clinic & Surgery
4Z,S G Clinic Family Practice
53,RAFFLES HOSPITAL
55,ST LUKE'S HOSPITAL (CONVALESCENT)
57,HOME NURSING FOUNDATION
59,WESTPOINT FAMILY HOSPITAL PTE LTD
5A,St. Luke's Hospital
5B,Starcare Clinic And Surgery Pte. Ltd.
5C,Ama Keng Medical Clinic
5D,AcuMed Medical Group Central
5E,The Family Medical Centre
5F,The Olive Tree Family Clinic & Surgery Pte Ltd
5G,Wong Clinic
5H,Woods Medical Clinic Pte Ltd
5I,Yim Clinic & Surgery
5J,818 Family Clinic And Surgery
5K,Bedok Clinic & Surgery (Family Medical Centre)
5L,Boon Lay Corporation Clinic Pte Ltd
5M,C & K Family Clinic Pte Ltd
5N,Chang Clinic
5O,Yishun Central Medical Clinic
5P,Grace Clinic & Surgery
5Q,L & H Polyclinic & Surgery
5R,Lifecare Family Clinic & Surgery
5S,Mandarin Medical Centre
5T,Meridian Medical And Dental Centre
5U,Premier Clinic & Surgery Pte Ltd
5V,Tang Family Clinic
5W,Temasek Medical Centre
5X,Temasek Medical Centre
5Y,Temasek Medical Centre
5Z,Temasek Medical Centre
60,MOUNT ELIZABETH HOSPITAL
61,MOUNT ALVERNIA HOSPITAL
62,Thomson Medical Pte. Ltd
63,GLENEAGLES HOSPITAL
64,YOUNGBERG ADVENTIST HOSPITAL
65,PARKWAY EAST HOSPITAL
66,JURONG HOSPITAL
6A,Pacific Medical and Dental Group
6B,Yap Medical Clinic
6C,Balestier Dispensary Medical & Surgical Clinic Pte Ltd
6D,Balkis Family Clinic
6E,Central Medical Group
6F,Doctor Jay Medical Centre
6G,Drs Lim and Chan Clinic
6H,Drs Lim and Chan Clinic
6I,Drs Wee & Oh
6J,Health Partnership Medical Centre
6K,Hong Family Clinic
6L,Hougang Clinic
6M,Huan Clinic
6N,Hwang & Liang Family Clinic & Surgery
6O,Hwang & Liang Family Clinic & Surgery
6P,J J Clinic & Surgery
6Q,Manhattan Medical Centre
6R,Rapha Medical Centre
6S,River Clinic
6T,Street 21 Clinic (Tampines)
6U,Tan & Yik Clinic & Surgery
6V,United Medical Practitioners Pte Ltd
6W,Vernon Clinic & Surgery
6X,Winstedt Clinic
6Y,Bishan Grace Clinic
6Z,Bukit Batok Medical Clinic
71,Corporation Clinic (Choa Chu Kang)
72,KWONG WAI SHIU HOSPITAL
73,SINGAPORE NURSING HOME
74,ADAM ROAD HOSPITAL
7A,Evangel Medical Clinic
7B,Galilee Clinic
7C,Goh Clinic & Surgery
7D,Jo-Lin Family Clinic & Surgery
7E,Kong Clinic & Surgery Pte Ltd
7F,Lai Medical Clinic Pte Ltd
7G,Ler Clinic & Surgery
7H,Lim Clinic
7I,Lim Country Clinic
7J,Medipoint Family Clinic
7K,Neoh & Ong Medical Clinic
7L,New Town Clinic Pte Ltd
7M,Ong Medical Clinic
7N,Our Family Physician Clinic & Surgery
7O,Oxford Medical Centre
7P,Seah Clinic
7Q,Tampines Medilife Clinic
7R,Tay Clinic
7S,The Medical Health Clinic Pte Ltd
7T,18 Clinic
7U,911 Family Clinic
7V,911 Family Clinic
7W,Albarakah Clinic & Surgery
7X,A. M. P.M. Family Clinic & Surgery Pte Ltd
7Y,B L Medical Associates Pte Ltd
7Z,B L Medical Associates Pte Ltd
8A,Central Clinic & Surgery (Marine Parade)
8B,Ong Clinic & Surgery Pte Ltd
8C,Pacific Medicare Family Clinic Pte Ltd
8D,Peace Family Clinic & Surgery (At Sembawang Drive)
8E,S K Tay Clinic & Surgery
8F,Central Clinic & Surgery (Yishun) (Medical Aesthetics Clinic)
8G,Trinity Medical Clinic
8H,W M Wong Cardiac & Medical Clinic
8I,Advance Clinic & Surgery
8J,Alliance Clinic & Partners Pte Ltd
8K,Apex Medical Centre (Jurong) Pte Ltd
8L,Central Clinic & Surgery (Clementi)
8M,E C Ng Medical Centre
8N,Everwell Clinic and Surgery
8O,Family Medicare Clinic & Surgery
8P,Jurong East Clinic
8Q,Khoo Clinic & Surgery
8R,Marine Parade Clinic
8S,Marine Terrace Family Clinic
8T,Medipoint Medical Centre (Punggol branch)
8U,Neo Medical Centre
8V,S S Tan Medical Clinic
8W,Siglap Family Clinic
8X,Tong Clinic & Surgery
8Y,United Health Family Clinic & Surgery
8Z,Yang & Yap Clinic & Surgery Pte Ltd
90,SNEC EYE ASSOCIATES
92,ASSISI HOSPICE
93,Ren Ci Long Term Care Buangkok (Community)
94,DOVER PARK HOSPICE
95,APPROVED PRIVATE ONCOLOGY CLINICS
96,Yeo's Clinic
97,NTUC Income Insurance Co-Operative Ltd
98,SMA/APMPS MEDISAVE A/C OFFICE
9A,Central Health Screening Centre (Medical Aesthetics)
9B,Chong & Lim Family Clinic
9C,Simei Medical Centre
9D,Bedok Medical Centre
9E,First Medical Clinic & Surgery
9F,Chai Chee Clinic & Surgery
9G,Adidah Family Clinic & Surgery
9H,Balestier Clinic and Health Screening Centre
9I,Changi Clinic
9J,Chong Medical Clinic
9K,Countryside Clinic & Surgery
9L,Eastern Medical Centre
9M,Family Healthcare Clinic & Surgery
9N,Gong Surgery Pte Ltd
9O,Han Clinic & Surgery
9P,Keppel Medical Group
9Q,Lau Clinic & Surgery
9R,Low Medical Clinic
9S,Medical Associates Centre
9T,Orchard Group Clinic
9U,Premier Healthcare Clinic & Surgery
9V,Reservoir Road Clinic & Surgery
9W,S T Medical Clinic
9X,Springs of Joy Clinic & Surgery
9Y,Sunshine Family Clinic
9Z,Thai Shen Family Clinic Pte Ltd
A0,Kwong Wai Shiu Hospital
A1,For PMI use
AC0,EH Medical
AC1,Jireh Heart centre
AC2,K2 MEDICAL CLINIC
AC3,NG JOHN NEUROLOGY PRACTICE
AC4,Norwood Medical Clinic
AC5,Fullerton Health @ Bedok Heartbeat
AC6,ORTHOPAEDIC & HAND MRI (OHM) NOVENA PTE LTD
AC7,PRECIOUS MEDICAL CLINIC
AC8,ML've URoCare Center
AC9,SW1 PLASTIC SURGERY
ACA,Specialist Women's Clinic
ACB,Hand Surgery Associates (Farrer Park) Pte Ltd
ACD,My Family Dental Serangoon
ACE,Royce Dental Surgery
ACF,Royce Dental Surgery (TAMPINES BRANCH)
ACG,Medivale Medical Clinic
ACH,THE ORCHARD IMAGING CENTRE PTE LTD
ACI,THE ORCHARD IMAGING CENTRE PTE LTD
ACK,HealthMatters - The Family Practice
ACL,i.Medical & i.Aesthetics
ACM,TPC Medical Clinic
ACN,One Surgical Clinic & Surgery (East)
ACO,CROSS STREET MEDICAL CLINIC
ACQ,Wee HealthFirst Medical Clinic
ACR,CARDIAC CENTRE INTERNATIONAL
ACS,OneCare Clinic Canberra
ACT,LSC EYE CLINIC
ACU,Q & M Dental Surgery (Tampines)
ACV,Stephen Chew Centre For Kidney Disease and Hypertension Pte Ltd
ACW,MAY MEDICAL CLINIC & SURGERY PTE LTD
ACX,DE PACIFIC DENTAL GROUP (PASIR RIS)
ACY,MY FAMILY CLINIC (ST GEORGE)
ACZ,MY FAMILY CLINIC (WOODLANDS GLEN)
AD1,Integrated Wellness Clinic
AD2,HEALTHCARE AMK MEDICAL CLINIC
AD3,HL FAMILY CLINIC & SURGERY PTE LTD
AD4,MUTUAL HEALTHCARE MEDICAL CLINIC
AD5,Mutual Healthcare Medical Clinic
AD6,MUTUAL HEALTHCARE MEDICAL CLINIC
AD9,WEE'S FAMILY CLINIC & SURGERY
ADA,Drs Chan & Tang Family Clinic
ADB,AGLOW BABY & CHILD SPECIALIST CLINIC
ADC,DR JOYCE & PARTNERS FAMILY CLINIC
ADD,Healthlife Family Clinic
ADE,Mediview Clinic and Surgery
ADF,DAYSPRING MEDICAL CLINIC (TAMPINES)
ADG,Executive Health Screeners
ADH,Executive Health Screeners
ADJ,FUSION MEDICAL & AESTHETIC EXECUTIVE CENTRE
ADK,PINNACLE FAMILY CLINIC (WOODLANDS)
ADM,E C TAN UROLOGY
ADO,Clement Dental
ADP,Crystal Dental Care
ADQ,Excel Dental
ADR,The Dental Hub (Telok Blangah)
ADS,LIEW & KOH DENTAL SURGERY
ADT,NOBLE DENTAL SURGERY
ADW,1728 Dental Practice (Ang Mo Kio)
ADX,LIANG CLINIC
ADY,The Dental Hub (Dover)
ADZ,Cornerstone Medical
AE0,KIDS CLINIC @ BEDOK
AE1,MINT MEDICAL CENTRE
AE2,PACIFIC FERTILITY INSTITUTES MEDICAL CLINIC
AE3,saudara clinic by A+J general physicians
AE4,K M HENG WOMEN'S CLINIC PTE LTD
AE6,Parkway Shenton Medical Group
AE8,The Clinic Group @ Marina One
AE9,Digestive & Liver Surgery (Orchard)
AEA,Popular Dental (Woodlands) PTE LTD
AEB,1728 Dental Practice (Jurong)
AEC,1728 Dental Practice (Tampines)
AED,Royce Dental Aesthetic And Implant Centre
AEE,Q & M Dental Surgery (Yishun Ring Road)
AEF,RAFFLESDENTAL
AEG,RAFFLESDENTAL
AEH,RAFFLESDENTAL
AEI,RafflesDental
AEJ,APOLLONIA DENTAL SURGERY
AEK,LAN MEDICAL CLINIC & SURGERY
AEL,WHITECOAT MEDICAL
AEM,K W ONG BREAST AND GENERAL SURGERY CLINIC
AEO,"Drs Koo, Fok & Associates Pte Ltd"
AEP,Healthway Medical
AER,STREET 11 CLINIC
AES,SUMMIT MEDICAL CLINIC
AET,ALLSMILES DENTAL CARE PUNGGOL PTE. LTD.
AEU,PAINCARE CENTER
AEV,HAFcare Novena Clinic
AEW,ONE SURGICAL CLINIC & SURGERY (ORCHARD)
AEX,DP DENTAL (Kovan Branch)
AEY,International Eye Cataract Retina Centre
AEZ,Boston Medical
AF0,COMPASSVALE 297A MEDICAL CLINIC
AF2,Potong Pasir Medical Clinic
AF3,The Chest and Internal Medicine Clinic
AF4,FRONTIER MEDICAL ASSOCIATES
AF5,FAITH CLINIC (YISHUN)
AF6,K2 MEDICAL CLINIC TPY
AF7,MINMED CLINIC (PASIR RIS)
AF8,PARKWAY CANCER CENTRE
AF9,STARMED SPECIALIST CENTRE
AFA,Singapore Paincare Center
AFB,T Medical Clinic
AFC,Boon Lay Dental Centre
AFD,Elements Dental
AFF,Q & M Dental Centre (Bugis)
AFG,CREST FAMILY CLINIC PTE. LTD.
AFH,Kenneth Tan Medical Clinic
AFI,P Tan Family Medicine Clinic
AFJ,CENTRAL 24-HR CLINIC (MARSILING)
AFK,Healthway Medical
AFM,MWH Centre for Medical Imaging
AFN,"MWH Heart, Stroke & Cancer Centre"
AFO,MWH Medical Specialists Centre
AFP,AJ WARREN DENTAL CLINIC
AFQ,Q & M Dental Surgery (Tiong Bahru) Pte Ltd
AFR,MEDICO CLINIC & SURGERY
AFS,HOUGANG FAMILY MEDICINE CLINIC
AFT,SUPERSIGHT EYE AND LASIK CENTRE
AFU,Dermatology Associates
AFV,AA DENTAL SURGERY
AFW,CREST  DENTAL SURGERY
AFX,UNIVERSAL DENTAL CENTRE
AFY,Novena Medical Center Family Clinic
AFZ,MARINE TERRACE FAMILY CLINIC
AG0,Well Medical Clinic & Surgery
AG1,WONG CLINIC & SURGERY
AG2,Maysprings Family Clinic
AG3,DA Clinic @ Anson
AG4,FRONTIER MEDICAL ASSOCIATES
AG5,TAN-TEOH CLINIC & SURGERY (ANG MO KIO BRANCH)
AG6,THE RESPIRATORY PRACTICE LUNG â€¢ ASTHMA â€¢ COUGH â€¢ ALLERGY
AG7,TWIN CITY MEDICAL CENTRE
AG8,"A SPECIALIST CLINIC FOR SINUS, SNORING & ENT"
AG9,Advanced Urology
AGA,ADVANCED UROLOGY
AGB,ADVANCED UROLOGY
AGC,BreastCare Surgery Pte Ltd
AGD,iSmile Dental surgery
AGE,Q & M Dental Surgery (Woodlands)
AGF,AESTHETIC DENTAL CARE
AGG,Children & Adult Skin Hair Laser Clinic
AGH,EAGLE EYE CENTRE PTE LTD (EEC)
AGJ,Specialist Pain International Clinic
AGK,Aesthetic Reconstructive Jaw Surgery
AGL,GPA CENTRE FOR DENTISTRY
AGM,GPA Dentalcare @ Goldhill
AGN,GPA Dentalcare @ Katong
AGO,GPA Dentalcare @ one-north
AGR,PANG & NG DENTAL SURGERY (HOUGANG) PTE. LTD.
AGS,Smile Link Dental Pte. Ltd.
AGT,TOOFDOCTOR Dental Surgeons (Serangoon Central)
AGU,The Implant and Oral Surgery Centre
AGV,WOODGROVE DENTAL SURGERY
AGX,Calrose Medical Family Clinic
AGY,CANA MEDICAL CLINIC & SURGERY
AGZ,CURIE ONCOLOGY PTE. LTD.
AH0,MEDI CLINIC
AH2,VICTORY CLINIC AND SURGERY
AH4,Women's Specialist  Associates
AH5,Vivid Dental Surgeons
AH7,BEDOK MEDICAL CENTRE
AH8,EASTERN CLINIC & SURGERY PTE LTD
AH9,EASTERN CLINIC & SURGERY PTE LTD
AHA,HAEM - ONC CLINIC PTE LTD
AHB,PRECIOUS SURGERY CENTRE
AHC,Greenlife Dental Clinic
AHD,i.Dental Surgeons
AHE,Q & M Dental Surgery (Redhill MRT) Pte Ltd
AHF,Complete Healthcare International
AHI,Global Care Medical
AHJ,B & F DENTAL
AHK,Weety Orthodontics Specialist Care
AHL,MYDENTAL @ TAMANJURONG
AHM,Healthway Medical
AHN,The Heart and Vascular Centre (Novena)
AHO,UNITY DENTICARE
AHP,Unity Denticare
AHQ,UNITY DENTICARE
AHR,UNITY DENTICARE
AHS,UNITY DENTICARE
AHT,UNITY Denticare
AHU,UNITY DENTICARE
AHV,UNITY DENTICARE
AHW,Unity Denticare
AHX,UNITY DENTICARE
AHY,Unity Denticare
AHZ,RafflesDental
AI0,The Dental Studio
AI1,THE DENTAL STUDIO
AI2,Healthway Dental
AI4,Novena MRI Diagnostics
AI5,Orthopaedic & Arthritis Centre
AI6,ONG CLINIC & SURGERY (YISHUN)
AI7,Island Family Clinic (Bukit Batok)
AI8,MY FAMILY CLINIC (BUKIT BATOK WEST)
AI9,The Clinic @ Tai Seng
AIA,Kidney Life Centre
AIB,AGAPE WOMEN'S SPECIALISTS
AIC,STANLEY EAR NOSE THROAT AND SINUS CENTRE
AID,Prime Surgery
AIE,Absolute Smile Dental
AIF,Rivers Dental Clinic
AIG,LEE & LEE (DENTAL SURGEONS) PTE LTD
AIH,TES Clinic for Face & Jaw
AIJ,Universe Dental Clinic
AIK,DR. CATHERINE LEE ORTHODONTICS @ RAFFLES
AIL,SINGAPORE TELECOM CLINIC
AIN,ALLIANCE CLINIC AND PARTNERS PTE LTD
AIO,NEWCASTLE CLINIC
AIP,W. H. YAK FAMILY CLINIC
AIQ,Q & M Dental Surgery (Elias Mall) Pte Ltd
AIR,I-HEALTH MEDICAL CLINIC
AIS,Platinum Medical Centre @Dorm
AIT,Asia Eye Centre Cataract & Retina Specialist
AIU,DERMATOLOGY & CO
AIV,COLIN TEO UROLOGY
AIX,The Endodontic Office
AIY,Winston Tan Oral Maxillofacial Surgery
AIZ,Astra Women's Specialists
AJ0,DA clinic @ Bukit Batok
AJ1,FRONTIER MEDICAL ASSOCIATES
AJ2,Kids Clinic @ Punggol
AJ3,LIFESCAN MEDICAL CENTRE
AJ4,Vista Healthsprings Medical & Laser Clinic
AJ5,Edgedale Medical Clinic (Cambridge)
AJ6,EYE & RETINA SURGEONS
AJ7,Alda Dental Surgery(Bedok)
AJA,Mount Alvernia Hospital
AJB,Braddell Family Clinic
AJC,Novaptus Surgery Centre
AJE,Quantum Medical Imaging
AJF,DA clinic @ Anchorvale
AJG,DA Clinic @ Bishan
AJH,DA clinic @ Sembawang
AJI,EH MEDICAL FAMILY CLINIC (BUKIT BATOK)
AJJ,ONECARE CLINIC PUNGGOL PLAZA
AJK,PHOENIX MEDICAL GROUP ( CACTUS )
AJM,Unihealth Clinic (Bedok)
AJP,EAGLE EYE CENTRE
AJQ,Clear Dental Clinic
AJR,My Dental Team
AJU,ROYCE DENTAL SURGERY
AJV,Unity Denticare
AJW,SW1 PLASTIC SURGERY
