ICD_Code,Description,Critical_Illness_Classification
A227,Anthrax sepsis,NONE
A222,Gastrointestinal anthrax,NONE
A228,Other forms of anthrax,NONE
A230,Brucellosis due to Brucella melitensis,BACTERIAL_MENINGITIS
A231,Brucellosis due to Brucella abortus,NONE
A232,Brucellosis due to Brucella suis,NONE
A233,Brucellosis due to Brucella canis,NONE
A241,Acute and fulminating melioidosis,NONE
A242,Subacute and chronic melioidosis,NONE
A229,"Anthrax, unspecified",MAJOR_HEAD_TRAUMA
A238,Other brucellosis,NONE
A243,Other melioidosis,NONE
A251,Streptobacillosis,NONE
A249,"Melioidosis, unspecified",NONE
A259,"Rat-bite fever, unspecified",NONE
A268,Other forms of erysipeloid,NONE
A270,Leptospirosis icterohemorrhagica,NONE
A2781,Aseptic meningitis in leptospirosis,BACTERIAL_MENINGITIS
A2789,Other forms of leptospirosis,NONE
A279,"Leptospirosis, unspecified",NONE
A269,"Erysipeloid, unspecified",NONE
A260,Cutaneous erysipeloid,NONE
A267,Erysipelothrix sepsis,NONE
A240,Glanders,NONE
A250,Spirillosis,NONE
A239,"Brucellosis, unspecified",NONE
A280,Pasteurellosis,NONE
A281,Cat-scratch disease,NONE
A282,Extraintestinal yersiniosis,NONE
A300,Indeterminate leprosy,NONE
A302,Borderline tuberculoid leprosy,NONE
A304,Borderline lepromatous leprosy,NONE
A310,Pulmonary mycobacterial infection,NONE
A311,Cutaneous mycobacterial infection,NONE
A318,Other mycobacterial infections,NONE
A3212,Listerial meningoencephalitis,BACTERIAL_MENINGITIS
A3281,Oculoglandular listeriosis,NONE
A3289,Other forms of listeriosis,BACTERIAL_MENINGITIS
A329,"Listeriosis, unspecified",NONE
A33,Tetanus neonatorum,COMA
A34,Obstetrical tetanus,NONE
A35,Other tetanus,NONE
A3282,Listerial endocarditis,NONE
A319,"Mycobacterial infection, unspecified",NONE
A301,Tuberculoid leprosy,NONE
A303,Borderline leprosy,NONE
A305,Lepromatous leprosy,NONE
A308,Other forms of leprosy,NONE
A309,"Leprosy, unspecified",NONE
A320,Cutaneous listeriosis,NONE
A3211,Listerial meningitis,BACTERIAL_MENINGITIS
A327,Listerial sepsis,NONE
A289,"Zoonotic bacterial disease, unspecified",NONE
A288,"Other specified zoonotic bacterial diseases, not elsewhere classified",NONE
A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),NONE
A360,Pharyngeal diphtheria,NONE
A362,Laryngeal diphtheria,NONE
A363,Cutaneous diphtheria,NONE
A361,Nasopharyngeal diphtheria,NONE
A3681,Diphtheritic cardiomyopathy,NONE
A3682,Diphtheritic radiculomyelitis,NONE
A3684,Diphtheritic tubulo-interstitial nephropathy,KIDNEY_FAILURE
A3700,Whooping cough due to Bordetella pertussis without pneumonia,NONE
A3710,Whooping cough due to Bordetella parapertussis without pneumonia,NONE
A3780,Whooping cough due to other Bordetella species without pneumonia,NONE
A3711,Whooping cough due to Bordetella parapertussis with pneumonia,NONE
A3781,Whooping cough due to other Bordetella species with pneumonia,BACTERIAL_MENINGITIS
A3790,"Whooping cough, unspecified species without pneumonia",NONE
A3791,"Whooping cough, unspecified species with pneumonia",NONE
A3701,Whooping cough due to Bordetella pertussis with pneumonia,NONE
A3683,Diphtheritic polyneuritis,NONE
A3686,Diphtheritic conjunctivitis,NONE
A369,"Diphtheria, unspecified",NONE
A3689,Other diphtheritic complications,BACTERIAL_MENINGITIS
A380,Scarlet fever with otitis media,DEAFNESS
A381,Scarlet fever with myocarditis,SERIOUS_CORONARY_ARTERY_DISEASE
A389,"Scarlet fever, uncomplicated",NONE
A390,Meningococcal meningitis,BACTERIAL_MENINGITIS
A392,Acute meningococcemia,BACTERIAL_MENINGITIS
A393,Chronic meningococcemia,BACTERIAL_MENINGITIS
A394,"Meningococcemia, unspecified",NONE
A388,Scarlet fever with other complications,NONE
A391,Waterhouse-Friderichsen syndrome,NONE
A3685,Diphtheritic cystitis,NONE
A3950,"Meningococcal carditis, unspecified",NONE
A3951,Meningococcal endocarditis,NONE
A3952,Meningococcal myocarditis,NONE
A3953,Meningococcal pericarditis,NONE
A3981,Meningococcal encephalitis,BACTERIAL_MENINGITIS
A3984,Postmeningococcal arthritis,BACTERIAL_MENINGITIS
A408,Other streptococcal sepsis,NONE
A409,"Streptococcal sepsis, unspecified",NONE
A3989,Other meningococcal infections,NONE
A399,"Meningococcal infection, unspecified",BACTERIAL_MENINGITIS
A400,"Sepsis due to streptococcus, group A",NONE
A401,"Sepsis due to streptococcus, group B",NONE
A403,Sepsis due to Streptococcus pneumoniae,NONE
A411,Sepsis due to other specified staphylococcus,NONE
A412,Sepsis due to unspecified staphylococcus,BACTERIAL_MENINGITIS
A413,Sepsis due to Hemophilus influenzae,NONE
A4150,"Gram-negative sepsis, unspecified",NONE
A4151,Sepsis due to Escherichia coli [E. coli],NONE
A414,Sepsis due to anaerobes,NONE
A4152,Sepsis due to Pseudomonas,NONE
A4159,Other Gram-negative sepsis,NONE
A4181,Sepsis due to Enterococcus,NONE
A419,"Sepsis, unspecified organism",NONE
A4153,Sepsis due to Serratia,NONE
A4189,Other specified sepsis,NONE
A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,NONE
A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,NONE
A3983,Meningococcal arthritis,BACTERIAL_MENINGITIS
A3982,Meningococcal retrobulbar neuritis,BACTERIAL_MENINGITIS
A420,Pulmonary actinomycosis,END_STAGE_LUNG_DISEASE
A421,Abdominal actinomycosis,NONE
A422,Cervicofacial actinomycosis,NONE
A4281,Actinomycotic meningitis,BACTERIAL_MENINGITIS
A4282,Actinomycotic encephalitis,NONE
A429,"Actinomycosis, unspecified",NONE
A430,Pulmonary nocardiosis,HEART_ATTACK
A431,Cutaneous nocardiosis,NONE
A438,Other forms of nocardiosis,HEART_ATTACK
A448,Other forms of bartonellosis,NONE
A449,"Bartonellosis, unspecified",NONE
A46,Erysipelas,NONE
A480,Gas gangrene,NONE
A481,Legionnaires' disease,BACTERIAL_MENINGITIS
A483,Toxic shock syndrome,NONE
A484,Brazilian purpuric fever,NONE
A488,Other specified bacterial diseases,NONE
A491,"Streptococcal infection, unspecified site",NONE
A492,"Hemophilus influenzae infection, unspecified site",NONE
A4851,Infant botulism,NONE
A4852,Wound botulism,MUSCULAR_DYSTROPHY
A441,Cutaneous and mucocutaneous bartonellosis,NONE
A482,Nonpneumonic Legionnaires' disease [Pontiac fever],NONE
A4901,"Methicillin susceptible Staphylococcus aureus infection, unspecified site",NONE
A4902,"Methicillin resistant Staphylococcus aureus infection, unspecified site",NONE
A439,"Nocardiosis, unspecified",END_STAGE_LUNG_DISEASE
A440,Systemic bartonellosis,NONE
A4289,Other forms of actinomycosis,NONE
A427,Actinomycotic sepsis,NONE
A493,"Mycoplasma infection, unspecified site",NONE
A5001,Early congenital syphilitic oculopathy,NONE
A5003,Early congenital syphilitic pharyngitis,NONE
A5004,Early congenital syphilitic pneumonia,NONE
A5005,Early congenital syphilitic rhinitis,NONE
A5006,Early cutaneous congenital syphilis,NONE
A5008,Early visceral congenital syphilis,NONE
A501,"Early congenital syphilis, latent",NONE
A502,"Early congenital syphilis, unspecified",NONE
A5007,Early mucocutaneous congenital syphilis,NONE
A5009,"Other early congenital syphilis, symptomatic",NONE
A5030,"Late congenital syphilitic oculopathy, unspecified",NONE
A5031,Late congenital syphilitic interstitial keratitis,NONE
A5032,Late congenital syphilitic chorioretinitis,NONE
A5039,Other late congenital syphilitic oculopathy,NONE
A5040,"Late congenital neurosyphilis, unspecified",NONE
A5041,Late congenital syphilitic meningitis,BACTERIAL_MENINGITIS
A5042,Late congenital syphilitic encephalitis,NONE
A5049,Other late congenital neurosyphilis,NONE
A5054,Late congenital cardiovascular syphilis,NONE
A5045,Juvenile general paresis,MUSCULAR_DYSTROPHY
A5051,Clutton's joints,NONE
A5052,Hutchinson's teeth,NONE
A5053,Hutchinson's triad,MULTIPLE_SCLEROSIS
A5043,Late congenital syphilitic polyneuropathy,NONE
A5044,Late congenital syphilitic optic nerve atrophy,NONE
A499,"Bacterial infection, unspecified",NONE
A498,Other bacterial infections of unspecified site,NONE
A5002,Early congenital syphilitic osteochondropathy,NONE
A5055,Late congenital syphilitic arthropathy,NONE
A5057,Syphilitic saddle nose,NONE
A506,"Late congenital syphilis, latent",NONE
A509,"Congenital syphilis, unspecified",NONE
A512,Primary syphilis of other sites,NONE
A5139,Other secondary syphilis of skin,NONE
A5141,Secondary syphilitic meningitis,BACTERIAL_MENINGITIS
A5143,Secondary syphilitic oculopathy,NONE
A5144,Secondary syphilitic nephritis,NONE
A5145,Secondary syphilitic hepatitis,NONE
A515,"Early syphilis, latent",NONE
A5202,Syphilitic aortitis,NONE
A5203,Syphilitic endocarditis,NONE
A5204,Syphilitic cerebral arteritis,NONE
A5205,Other cerebrovascular syphilis,STROKE
A5206,Other syphilitic heart involvement,NONE
A519,"Early syphilis, unspecified",NONE
A5201,Syphilitic aneurysm of aorta,NONE
A5146,Secondary syphilitic osteopathy,NONE
A5149,Other secondary syphilitic conditions,NONE
A5200,"Cardiovascular syphilis, unspecified",NONE
A5142,Secondary syphilitic female pelvic disease,NONE
A510,Primary genital syphilis,NONE
A511,Primary anal syphilis,NONE
A5131,Condyloma latum,NONE
A5132,Syphilitic alopecia,NONE
A507,"Late congenital syphilis, unspecified",NONE
A5056,Late congenital syphilitic osteochondropathy,NONE
A5059,"Other late congenital syphilis, symptomatic",NONE
A5209,Other cardiovascular syphilis,NONE
A5212,Other cerebrospinal syphilis,BACTERIAL_MENINGITIS
A5213,Late syphilitic meningitis,COMA
A5214,Late syphilitic encephalitis,NONE
A5215,Late syphilitic neuropathy,NONE
A5216,Charcot's arthropathy (tabetic),NONE
A5219,Other symptomatic neurosyphilis,NONE
A522,Asymptomatic neurosyphilis,NONE
A523,"Neurosyphilis, unspecified",NONE
A5271,Late syphilitic oculopathy,NONE
A5272,Syphilis of lung and bronchus,NONE
A5274,Syphilis of liver and other viscera,END_STAGE_LIVER_DISEASE
A5275,Syphilis of kidney and ureter,NONE
A5277,Syphilis of bone and joint,NONE
A528,"Late syphilis, latent",NONE
A539,"Syphilis, unspecified",NONE
A529,"Late syphilis, unspecified",NONE
A5273,Symptomatic late syphilis of other respiratory organs,NONE
A5276,Other genitourinary symptomatic late syphilis,NONE
A5278,Syphilis of other musculoskeletal tissue,NONE
A530,"Latent syphilis, unspecified as early or late",NONE
A5401,"Gonococcal cystitis and urethritis, unspecified",NONE
A5402,"Gonococcal vulvovaginitis, unspecified",NONE
A5403,"Gonococcal cervicitis, unspecified",NONE
A5400,"Gonococcal infection of lower genitourinary tract, unspecified",NONE
A5279,Other symptomatic late syphilis,NONE
A5211,Tabes dorsalis,NONE
A5217,General paresis,NONE
A5210,"Symptomatic neurosyphilis, unspecified",NONE
A5409,Other gonococcal infection of lower genitourinary tract,NONE
A5421,Gonococcal infection of kidney and ureter,NONE
A5423,Gonococcal infection of other male genital organs,NONE
A5440,"Gonococcal infection of musculoskeletal system, unspecified",NONE
A5449,Gonococcal infection of other musculoskeletal tissue,NONE
A546,Gonococcal infection of anus and rectum,NONE
A5424,Gonococcal female pelvic inflammatory disease,NONE
A5429,Other gonococcal genitourinary infections,NONE
A5430,"Gonococcal infection of eye, unspecified",NONE
A5422,Gonococcal prostatitis,NONE
A5431,Gonococcal conjunctivitis,NONE
A5439,Other gonococcal eye infection,NONE
A5441,Gonococcal spondylopathy,BACTERIAL_MENINGITIS
A5443,Gonococcal osteomyelitis,NONE
A545,Gonococcal pharyngitis,NONE
A5481,Gonococcal meningitis,NONE
A5482,Gonococcal brain abscess,NONE
A5483,Gonococcal heart infection,SERIOUS_CORONARY_ARTERY_DISEASE
A5489,Other gonococcal infections,NONE
A549,"Gonococcal infection, unspecified",NONE
A55,Chlamydial lymphogranuloma (venereum),NONE
A5600,"Chlamydial infection of lower genitourinary tract, unspecified",NONE
A5484,Gonococcal pneumonia,NONE
A5485,Gonococcal peritonitis,NONE
A5486,Gonococcal sepsis,NONE
A5432,Gonococcal iridocyclitis,NONE
A5433,Gonococcal keratitis,NONE
A5442,Gonococcal arthritis,NONE
A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,NONE
A5601,Chlamydial cystitis and urethritis,NONE
A5609,Other chlamydial infection of lower genitourinary tract,NONE
A562,"Chlamydial infection of genitourinary tract, unspecified",NONE
A568,Sexually transmitted chlamydial infection of other sites,NONE
A6000,"Herpesviral infection of urogenital system, unspecified",NONE
A6002,Herpesviral infection of other male genital organs,NONE
A6009,Herpesviral infection of other urogenital tract,VIRAL_ENCEPHALITIS
A609,"Anogenital herpesviral infection, unspecified",NONE
A64,Unspecified sexually transmitted disease,NONE
A601,Herpesviral infection of perianal skin and rectum,NONE
A638,Other specified predominantly sexually transmitted diseases,NONE
A5611,Chlamydial female pelvic inflammatory disease,NONE
A5619,Other chlamydial genitourinary infection,NONE
A563,Chlamydial infection of anus and rectum,NONE
A5900,"Urogenital trichomoniasis, unspecified",NONE
A5903,Trichomonal cystitis and urethritis,NONE
A5909,Other urogenital trichomoniasis,NONE
A598,Trichomoniasis of other sites,NONE
A599,"Trichomoniasis, unspecified",NONE
A6001,Herpesviral infection of penis,NONE
A6003,Herpesviral cervicitis,NONE
A6004,Herpesviral vulvovaginitis,NONE
A630,Anogenital (venereal) warts,NONE
A564,Chlamydial infection of pharynx,NONE
A57,Chancroid,NONE
A58,Granuloma inguinale,NONE
A5901,Trichomonal vulvovaginitis,NONE
A5902,Trichomonal prostatitis,NONE
A5602,Chlamydial vulvovaginitis,NONE
A65,Nonvenereal syphilis,NONE
A660,Initial lesions of yaws,NONE
A663,Hyperkeratosis of yaws,NONE
A665,Gangosa,NONE
A668,Latent yaws,NONE
A669,"Yaws, unspecified",NONE
A670,Primary lesions of pinta,PRIMARY_PULMONARY_HYPERTENSION
A672,Late lesions of pinta,MAJOR_CANCERS
A673,Mixed lesions of pinta,MAJOR_CANCERS
A679,"Pinta, unspecified",NONE
A671,Intermediate lesions of pinta,NONE
A680,Louse-borne relapsing fever,NONE
A681,Tick-borne relapsing fever,BACTERIAL_MENINGITIS
A689,"Relapsing fever, unspecified",NONE
A691,Other Vincent's infections,NONE
A6920,"Lyme disease, unspecified",NONE
A690,Necrotizing ulcerative stomatitis,NONE
A6921,Meningitis due to Lyme disease,BACTERIAL_MENINGITIS
A6923,Arthritis due to Lyme disease,NONE
A698,Other specified spirochetal infections,NONE
A699,"Spirochetal infection, unspecified",NONE
A70,Chlamydia psittaci infections,NONE
A6922,Other neurologic disorders in Lyme disease,NONE
A6929,Other conditions associated with Lyme disease,COMA
A661,Multiple papillomata and wet crab yaws,NONE
A662,Other early skin lesions of yaws,NONE
A664,Gummata and ulcers of yaws,NONE
A666,Bone and joint lesions of yaws,NONE
A667,Other manifestations of yaws,NONE
A710,Initial stage of trachoma,NONE
A711,Active stage of trachoma,NONE
A740,Chlamydial conjunctivitis,NONE
A7489,Other chlamydial diseases,NONE
A759,"Typhus fever, unspecified",NONE
A7740,"Ehrlichiosis, unspecified",NONE
A7749,Other ehrlichiosis,NONE
A78,Q fever,NONE
A790,Trench fever,NONE
A778,Other spotted fevers,NONE
A779,"Spotted fever, unspecified",NONE
A749,"Chlamydial infection, unspecified",NONE
A751,Recrudescent typhus [Brill's disease],NONE
A752,Typhus fever due to Rickettsia typhi,NONE
A753,Typhus fever due to Rickettsia tsutsugamushi,NONE
A770,Spotted fever due to Rickettsia rickettsii,NONE
A771,Spotted fever due to Rickettsia conorii,NONE
A772,Spotted fever due to Rickettsia siberica,NONE
A773,Spotted fever due to Rickettsia australis,BACTERIAL_MENINGITIS
A7741,Ehrlichiosis chafeensis [E. chafeensis],NONE
A791,Rickettsialpox due to Rickettsia akari,NONE
A7989,Other specified rickettsioses,NONE
A799,"Rickettsiosis, unspecified",NONE
A7981,Rickettsiosis due to Ehrlichia sennetsu,NONE
A800,"Acute paralytic poliomyelitis, vaccine-associated",MUSCULAR_DYSTROPHY
A801,"Acute paralytic poliomyelitis, wild virus, imported",POLIOMYELITIS
A750,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,NONE
A719,"Trachoma, unspecified",NONE
A7481,Chlamydial peritonitis,NONE
A802,"Acute paralytic poliomyelitis, wild virus, indigenous",POLIOMYELITIS
A8030,"Acute paralytic poliomyelitis, unspecified",POLIOMYELITIS
A8039,Other acute paralytic poliomyelitis,POLIOMYELITIS
A804,Acute nonparalytic poliomyelitis,POLIOMYELITIS
A809,"Acute poliomyelitis, unspecified",NONE
A8101,Variant Creutzfeldt-Jakob disease,NONE
A8109,Other Creutzfeldt-Jakob disease,NONE
A8183,Fatal familial insomnia,NONE
A820,Sylvatic rabies,NONE
A821,Urban rabies,COMA
A829,"Rabies, unspecified",VIRAL_ENCEPHALITIS
A830,Japanese encephalitis,VIRAL_ENCEPHALITIS
A833,St Louis encephalitis,BACTERIAL_MENINGITIS
A834,Australian encephalitis,BACTERIAL_MENINGITIS
A835,California encephalitis,NONE
A838,Other mosquito-borne viral encephalitis,VIRAL_ENCEPHALITIS
A841,Central European tick-borne encephalitis,BACTERIAL_MENINGITIS
A839,"Mosquito-borne viral encephalitis, unspecified",VIRAL_ENCEPHALITIS
A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],NONE
A836,Rocio virus disease,NONE
A831,Western equine encephalitis,COMA
A832,Eastern equine encephalitis,VIRAL_ENCEPHALITIS
A8181,Kuru,NONE
A811,Subacute sclerosing panencephalitis,MULTIPLE_SCLEROSIS
A812,Progressive multifocal leukoencephalopathy,MULTIPLE_SCLEROSIS
A8182,Gerstmann-Straussler-Scheinker syndrome,NONE
A8189,Other atypical virus infections of central nervous system,NONE
A819,"Atypical virus infection of central nervous system, unspecified",NONE
A8100,"Creutzfeldt-Jakob disease, unspecified",NONE
A848,Other tick-borne viral encephalitis,VIRAL_ENCEPHALITIS
A858,Other specified viral encephalitis,VIRAL_ENCEPHALITIS
A86,Unspecified viral encephalitis,VIRAL_ENCEPHALITIS
A872,Lymphocytic choriomeningitis,NONE
A879,"Viral meningitis, unspecified",NONE
A90,Dengue fever [classical dengue],NONE
A91,Dengue hemorrhagic fever,NONE
A920,Chikungunya virus disease,VIRAL_ENCEPHALITIS
A922,Venezuelan equine fever,NONE
A9230,"West Nile virus infection, unspecified",VIRAL_ENCEPHALITIS
A9231,West Nile virus infection with encephalitis,COMA
A928,Other specified mosquito-borne viral fevers,NONE
A929,"Mosquito-borne viral fever, unspecified",NONE
A9239,West Nile virus infection with other complications,VIRAL_ENCEPHALITIS
A9232,West Nile virus infection with other neurologic manifestation,VIRAL_ENCEPHALITIS
A921,O'nyong-nyong fever,NONE
A924,Rift Valley fever,VIRAL_ENCEPHALITIS
A925,Zika virus disease,NONE
A870,Enteroviral meningitis,NONE
A871,Adenoviral meningitis,NONE
A878,Other viral meningitis,NONE
A881,Epidemic vertigo,NONE
A850,Enteroviral encephalitis,VIRAL_ENCEPHALITIS
A851,Adenoviral encephalitis,VIRAL_ENCEPHALITIS
A849,"Tick-borne viral encephalitis, unspecified",VIRAL_ENCEPHALITIS
A852,"Arthropod-borne viral encephalitis, unspecified",VIRAL_ENCEPHALITIS
A880,Enteroviral exanthematous fever [Boston exanthem],NONE
A89,Unspecified viral infection of central nervous system,VIRAL_ENCEPHALITIS
A888,Other specified viral infections of central nervous system,VIRAL_ENCEPHALITIS
A930,Oropouche virus disease,NONE
A938,Other specified arthropod-borne viral fevers,NONE
A94,Unspecified arthropod-borne viral fever,NONE
A931,Sandfly fever,NONE
A932,Colorado tick fever,NONE
A950,Sylvatic yellow fever,NONE
A951,Urban yellow fever,NONE
A962,Lassa fever,NONE
A959,"Yellow fever, unspecified",NONE
A960,Junin hemorrhagic fever,STROKE
A961,Machupo hemorrhagic fever,BACTERIAL_MENINGITIS
A968,Other arenaviral hemorrhagic fevers,NONE
A980,Crimean-Congo hemorrhagic fever,NONE
A981,Omsk hemorrhagic fever,NONE
A982,Kyasanur Forest disease,NONE
A983,Marburg virus disease,NONE
A984,Ebola virus disease,NONE
B000,Eczema herpeticum,NONE
B003,Herpesviral meningitis,NONE
B004,Herpesviral encephalitis,VIRAL_ENCEPHALITIS
B0051,Herpesviral iridocyclitis,NONE
B0052,Herpesviral keratitis,NONE
A969,"Arenaviral hemorrhagic fever, unspecified",NONE
A985,Hemorrhagic fever with renal syndrome,NONE
A988,Other specified viral hemorrhagic fevers,NONE
B0050,"Herpesviral ocular disease, unspecified",NONE
B002,Herpesviral gingivostomatitis and pharyngotonsillitis,VIRAL_ENCEPHALITIS
A99,Unspecified viral hemorrhagic fever,NONE
B001,Herpesviral vesicular dermatitis,NONE
B0053,Herpesviral conjunctivitis,NONE
B0081,Herpesviral hepatitis,NONE
B010,Varicella meningitis,VIRAL_ENCEPHALITIS
B0112,Varicella myelitis,NONE
B0181,Varicella keratitis,NONE
B020,Zoster encephalitis,STROKE
B021,Zoster meningitis,BACTERIAL_MENINGITIS
B012,Varicella pneumonia,NONE
B0189,Other varicella complications,NONE
B019,Varicella without complication,NONE
B0221,Postherpetic geniculate ganglionitis,NONE
B0229,Other postherpetic nervous system involvement,NONE
